loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_comment
3172,4384675,K00445.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,260.2071733,258.34887,,6.59,,,,,,,,,,,,,,296.18063,39.435452,14.707,CENT_RESOLVED_OFFSET
3173,4633570,K00446.01,Kepler-158 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.70920628,174.75417,0.855,2.7052,8.40E+02,2.27,0.1112,500,14.73,40.4,1,q1_q17_dr25_tce,4621,4.605,-0.24,0.668,0.656,284.03223,39.78133,14.427,NO_COMMENT
3174,4633570,K00446.02,Kepler-158 c,CONFIRMED,CANDIDATE,0.895,0,0,0,0,28.55158187,185.47672,0.623,4.1502,8.08E+02,1.97,0.1589,418,7.21,36,2,q1_q17_dr25_tce,4621,4.605,-0.24,0.668,0.656,284.03223,39.78133,14.427,NO_COMMENT
3175,5021176,K00447.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,4.045057186,172.68365,1.292,2.9954,7.53E+02,30.33,0.0465,1126,381.17,62.2,1,q1_q17_dr25_tce,5906,4.473,-0.58,0.87,0.821,294.58817,40.165051,14.865,NO_COMMENT
3176,5640085,K00448.01,Kepler-159 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.13958818,178.45074,0.078,2.6446,1.16E+03,1.68,0.0739,447,9.41,40.3,1,q1_q17_dr25_tce,3893,4.758,-0.28,0.5,0.521,297.07016,40.86879,14.902,CENT_RESOLVED_OFFSET
3177,5640085,K00448.02,Kepler-159 c,CONFIRMED,CANDIDATE,0,0,0,0,0,43.5859419,194.6107,0.011,4.6814,1.71E+03,2.05,0.1953,275,1.35,38.9,2,q1_q17_dr25_tce,3893,4.758,-0.28,0.5,0.521,297.07016,40.86879,14.902,NO_COMMENT
3178,4852528,K00500.05,Kepler-80 f,CONFIRMED,CANDIDATE,1,0,0,0,0,0.986785834,133.171292,0.026,1.1879,4.50E+02,1.19,0.0162,1054,292.35,51.5,4,q1_q17_dr25_tce,4041,4.697,-0.14,0.567,0.584,296.11258,39.978779,14.804,NO_COMMENT
3179,4951877,K00501.01,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,24.7962801,170.32595,0.01,8.33,5.74E+02,2.7,0.1677,664,45.92,43.6,1,q1_q17_dr25_tce,5770,4.333,0.16,1.141,1.02,298.47321,40.075871,14.612,NO_COMMENT
3180,5282051,K00502.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,5.91037674,171.15166,0.123,3.421,2.57E+02,1.38,0.0584,937,182.47,34.5,1,q1_q17_dr25_tce,5515,4.443,-0.38,0.867,0.76,293.83701,40.41275,14.276,NO_COMMENT
3181,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,1,0,0,0,0,27.4536146,145.02866,0.765,3.747,1.36E+02,0.95,0.1655,457,10.34,27.5,3,q1_q17_dr25_tce,4900,4.602,0.08,0.741,0.806,281.48273,47.208031,11.492,NO_COMMENT
3182,5340644,K00503.01,Kepler-580 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.22241355,172.95657,0.246,2.71,1.47E+03,2.28,0.0683,558,22.86,67,1,q1_q17_dr25_tce,4213,4.658,-0.1,0.615,0.626,283.49982,40.552799,15,CENT_SATURATED
3183,3437776,K00549.02,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,0.635587392,133.41665,1.151,4.7,1.48E+02,28.58,0.015,2587,10637.41,40.9,2,q1_q17_dr25_tce,5671,4.075,0.34,1.608,1.121,289.79907,38.555061,14.565,DEEP_V_SHAPED
3184,4165473,K00550.01,Kepler-597 b,CONFIRMED,CANDIDATE,1,0,0,0,0,13.02363236,178.52482,0.032,3.9734,6.07E+02,2.3,0.1056,743,71.85,50.5,1,q1_q17_dr25_tce,5627,4.453,0,0.945,0.925,293.47012,39.252811,14.07,NO_COMMENT
3185,4270253,K00551.01,Kepler-183 c,CONFIRMED,CANDIDATE,1,0,0,0,0,11.6370303,178.84448,0.066,3.3372,6.04E+02,2.9,0.0987,857,127.46,36.4,1,q1_q17_dr25_tce,5576,4.257,0.14,1.198,0.945,293.53085,39.315891,14.943,NO_COMMENT
3186,5544450,K03226.02,,CANDIDATE,CANDIDATE,0.995,0,0,0,0,6.93650854,133.98309,0.331,3.674,8.87E+01,1.51,0.0786,1305,687.21,11.3,2,q1_q17_dr25_tce,6615,4.173,0.04,1.574,1.343,294.89734,40.798168,12.209,MOD_ODDEVEN_ALT
3187,4270253,K00551.02,Kepler-183 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.68798675,133.95607,0.663,2.2682,4.76E+02,2.76,0.0613,1088,330.44,33,2,q1_q17_dr25_tce,5576,4.257,0.14,1.198,0.945,293.53085,39.315891,14.943,MOD_NONUNIQ_ALT
3188,5122112,K00552.01,,FALSE POSITIVE,FALSE POSITIVE,0.059,0,1,0,0,3.055171082,171.099046,1.204,1.6798,8.67E+03,35.24,0.0405,1358,804.33,143.2,1,q1_q17_dr25_tce,6237,4.426,-0.48,0.987,0.948,297.39825,40.229191,14.741,CENT_SATURATED
3189,10973664,K00601.01,Kepler-619 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.40426917,172.18553,0.229,2.5315,8.61E+02,2.85,0.0611,1073,312.93,40.5,1,q1_q17_dr25_tce,6122,4.487,-0.18,0.964,1.041,290.84906,48.416012,14.697,NO_COMMENT
3190,10973664,K00601.02,Kepler-619 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.67894236,131.5119,0.94,1.2641,1.19E+03,4.17,0.1021,830,112.07,23.1,2,q1_q17_dr25_tce,6122,4.487,-0.18,0.964,1.041,290.84906,48.416012,14.697,NO_COMMENT
3191,10973664,K00601.03,Kepler-619 c,CONFIRMED,CANDIDATE,1,0,0,0,0,1.208462378,133.67712,0.831,1.544,2.27E+02,1.64,0.0225,1767,2307.65,17.4,3,q1_q17_dr25_tce,6122,4.487,-0.18,0.964,1.041,290.84906,48.416012,14.697,MOD_SEC_DV
3192,9141746,K00929.02,Kepler-730 c,CONFIRMED,CANDIDATE,0.994,0,0,0,0,2.85188338,132.1455,0.578,2.666,1.15E+02,1.23,0.0413,1398,903.77,10.1,2,q1_q17_dr25_tce,6123,4.413,0.14,1.107,1.159,285.55481,45.578861,15.649,MOD_SEC_DV
3193,12459913,K00602.01,Kepler-620 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.91385906,177.27535,0.845,5.3685,4.88E+02,2.49,0.1053,849,122.66,40.5,1,q1_q17_dr25_tce,6253,4.41,-0.54,0.997,0.93,291.15939,51.334862,14.647,MOD_NONUNIQ_ALT
3194,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,0.953,0,0,0,0,54.31996151,161.239869,0.497,8.5858,1.98E+03,6.07,0.2906,584,27.4,291.3,2,q1_q17_dr25_tce,6181,4.234,-0.02,1.331,1.106,297.33307,41.891121,12.205,NO_COMMENT
3195,5779852,K00449.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,252.0792347,240.234923,1.283,3.9808,5.58E+03,41.07,0.7863,318,2.42,104.1,1,q1_q17_dr25_tce,6348,4.434,-0.38,1.014,1.016,288.19809,41.09417,14.183,NO_COMMENT
3196,6042214,K00450.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,27.04627886,171.95525,0.962,2.666,9.01E+02,3.54,0.1766,636,38.62,48.8,1,q1_q17_dr25_tce,6332,4.516,-0.5,0.915,1.001,291.75223,41.311241,14.173,NO_COMMENT
3197,6200715,K00451.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,3.723560726,172.17977,0.954,3.435,5.40E+02,3.46,0.05,1401,910.65,58.9,1,q1_q17_dr25_tce,6535,4.373,-0.1,1.181,1.202,290.41916,41.525372,14.93,NO_COMMENT
3198,8226050,K01910.02,,CANDIDATE,CANDIDATE,0.949,0,0,0,0,18.3848331,135.4745,0.711,3.545,1.52E+02,1.15,0.1274,587,27.99,10.3,2,q1_q17_dr25_tce,5083,4.468,0.18,0.872,0.815,289.19263,44.149319,14.685,NO_COMMENT
3199,6291033,K00452.01,Kepler-557 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.705991661,169.94286,0.623,5.1658,5.01E+02,2.43,0.0469,1281,637.42,100.3,1,q1_q17_dr25_tce,6187,4.409,-0.26,1.034,0.997,293.70847,41.615131,14.641,NO_COMMENT
3200,6889235,K00074.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,5.188671659,125.879388,0.884,5.0534,5.49E+02,5.2,0.0764,2118,4750.81,331.6,2,q1_q17_dr25_tce,9523,4.205,0.07,1.941,2.202,298.32425,42.38847,10.96,DEEP_V_SHAPED
3201,6758917,K00453.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,1,0,0,2.236100588,169.64852,1.427,1.8643,2.72E+04,55.59,0.032,1255,586.38,43,1,q1_q17_dr25_tce,5708,4.578,-0.34,0.795,0.883,285.11969,42.299129,14.549,CENT_RESOLVED_OFFSET
3202,5461440,K00504.01,Kepler-581 b,CONFIRMED,CANDIDATE,0.932,0,0,0,0,40.606895,199.25748,0.494,5.756,6.58E+02,2.67,0.2259,521,17.4,36.3,1,q1_q17_dr25_tce,5538,4.384,0.14,1.027,0.93,295.4328,40.648239,14.56,NO_COMMENT
3203,5689351,K00505.01,Kepler-169 e,CONFIRMED,CANDIDATE,1,0,0,0,0,13.76710058,174.81089,0.806,2.9105,6.85E+02,2.24,0.1046,595,29.55,41.6,1,q1_q17_dr25_tce,5001,4.582,0.04,0.76,0.806,285.99988,40.919319,14.194,NO_COMMENT
3204,6779260,K02678.02,,CANDIDATE,CANDIDATE,0.976,0,0,0,0,2.2165905,131.5607,0.703,1,2.87E+01,0.48,0.0319,1215,515.27,2.8,2,q1_q17_dr25_tce,5397,4.543,-0.02,0.831,0.878,292.38855,42.233261,11.799,NO_COMMENT
3205,5689351,K00505.02,Kepler-169 c,CONFIRMED,CANDIDATE,0.996,0,0,0,0,6.1954595,134.71507,0.647,2.952,2.96E+02,1.37,0.0614,776,85.77,27.1,5,q1_q17_dr25_tce,5001,4.582,0.04,0.76,0.806,285.99988,40.919319,14.194,NO_COMMENT
3206,5689351,K00505.03,Kepler-169 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.25058201,133.69472,0.684,2.2537,2.18E+02,1.19,0.04,962,202.09,24,3,q1_q17_dr25_tce,5001,4.582,0.04,0.76,0.806,285.99988,40.919319,14.194,NO_COMMENT
3207,5689351,K00505.04,Kepler-169 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,8.34819209,136.84111,0.799,2.835,2.89E+02,1.45,0.075,702,57.48,22.1,4,q1_q17_dr25_tce,5001,4.582,0.04,0.76,0.806,285.99988,40.919319,14.194,NO_COMMENT
