loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_comment
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.48803557,170.53875,0.146,2.9575,6.16E+02,2.26,0.0853,793,93.59,35.8,1,q1_q17_dr25_tce,5455,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,NO_COMMENT
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,162.51384,0.586,4.507,8.75E+02,2.83,0.2734,443,9.11,25.8,2,q1_q17_dr25_tce,5455,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,NO_COMMENT
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,19.89913995,175.850252,0.969,1.7822,1.08E+04,14.6,0.1419,638,39.3,76.3,1,q1_q17_dr25_tce,5853,4.544,-0.18,0.868,0.961,297.00482,48.134129,15.436,DEEP_V_SHAPED
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8.08E+03,33.46,0.0267,1395,891.96,505.6,1,q1_q17_dr25_tce,5805,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597,MOD_ODDEVEN_DV
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.525591777,171.59555,0.701,1.6545,6.03E+02,2.75,0.0374,1406,926.16,40.9,1,q1_q17_dr25_tce,6031,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509,NO_COMMENT
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.09432054,171.20116,0.538,4.5945,1.52E+03,3.9,0.0992,835,114.81,66.5,1,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,NO_COMMENT
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.13443512,172.97937,0.762,3.1402,6.86E+02,2.77,0.0514,1160,427.65,40.2,2,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,NO_COMMENT
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,179.55437,0.755,2.429,2.27E+02,1.59,0.0374,1360,807.74,15,3,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,NO_COMMENT
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,7.36178958,132.25053,1.169,5.022,2.34E+02,39.21,0.082,1342,767.22,47.7,1,q1_q17_dr25_tce,6227,3.986,0,1.958,1.358,298.86435,42.151569,12.66,MOD_SEC_DV
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.06864674,173.621937,0.052,3.5347,4.91E+03,5.76,0.1158,600,30.75,161.9,1,q1_q17_dr25_tce,5031,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,NO_COMMENT
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,122.763305,0.818,1.74319,1.42E+04,13.04,0.0354,1339,761.46,4304.3,1,q1_q17_dr25_tce,5820,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338,CENT_SATURATED
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6.67E+03,16.1,0.0376,2048,4148.92,5945.9,1,q1_q17_dr25_tce,6440,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463,MOD_SEC_DV
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9.15E+03,14.59,0.0473,1521,1264.67,1741.5,1,q1_q17_dr25_tce,6225,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563,NO_COMMENT
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1,0,0,0,0,3.709214104,133.98318,0.051,2.6302,1.31E+02,1.16,0.0465,1206,500.46,50.6,2,q1_q17_dr25_tce,5833,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772,NO_COMMENT
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,11.52144606,170.839688,2.483,3.6399,1.80E+04,150.51,0.0978,753,75.88,622.1,1,q1_q17_dr25_tce,5795,4.554,-0.2,0.848,0.938,297.07993,47.597401,15.472,MOD_SEC_DV
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.40393776,172.484253,0.804,12.2155,8.92E+03,7.18,0.123,523,17.69,214.7,1,q1_q17_dr25_tce,5043,4.591,-0.54,0.68,0.657,289.25821,47.635319,15.487,MOD_SEC_DV
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.22138894,184.5521637,1.065,4.79843,7.43E+04,49.29,0.1417,698,55.97,2317,1,q1_q17_dr25_tce,6117,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341,DEEP_V_SHAPED
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,16.46983774,180.881761,0.292,9.4378,1.05E+04,7.94,0.1147,595,29.61,303.4,1,q1_q17_dr25_tce,5152,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788,MOD_SEC_DV
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1.29E+03,2.47,0.0759,649,41.85,87.2,1,q1_q17_dr25_tce,4856,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302,CENT_KIC_POS
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1.91E+03,2.85,0.0585,678,50.04,65.4,1,q1_q17_dr25_tce,4537,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784,CENT_KIC_POS
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.696370652,170.73769,0.044,3.6129,3.98E+02,1.58,0.0349,1066,305.34,48.2,1,q1_q17_dr25_tce,4989,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269,MOD_SEC_DV
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.349553819,171.80694,0.092,3.0278,8.31E+02,2.55,0.0563,919,168.99,60.6,1,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,NO_COMMENT
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221,136.08662,0.226,2.5984,3.63E+02,1.7,0.046,1018,253.15,28.9,2,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,NO_COMMENT
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,0,0,0,0,8.10904807,132.8031,0.025,3.596,2.17E+02,1.3,0.0743,800,97.03,14.1,3,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,NO_COMMENT
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,2.49E+04,41.5,1.0719,297,1.84,994,1,q1_q16_tce,5543,4.081,0.44,1.58,1.103,292.27374,37.671558,12.394,NO_COMMENT
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.67699193,171.53594,0.896,3.4555,8.57E+02,2.95,0.1408,530,18.64,34.3,1,q1_q17_dr25_tce,4954,4.5,0.18,0.828,0.791,290.46512,47.92918,15.377,NO_COMMENT
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.99677968,171.74208,0.71,2.1717,9.35E+02,2.78,0.0559,917,166.95,28.2,1,q1_q17_dr25_tce,5339,4.552,0.18,0.847,0.931,297.80826,47.946671,15.861,NO_COMMENT
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.280963604,171.89659,0.424,2.875,7.51E+02,2.3,0.0503,1012,247.87,61.8,1,q1_q17_dr25_tce,5644,4.564,-0.14,0.831,0.928,294.26581,49.314091,15.356,CENT_UNRESOLVED_OFFSET
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2.21E+03,4.53,0.025,1452,1054.12,181.1,1,q1_q17_dr25_tce,5714,4.563,-0.2,0.831,0.926,295.66522,49.351009,15.525,INDIV_TRANS_CHASES_MARSHALL
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,670.645531,209.04355,0.701,53.412,1.81E+04,14.14,1.5155,196,0.35,642.7,1,q1_q17_dr25_tce,5520,4.466,0.48,0.983,1.03,296.69861,49.316479,15.207,DEPTH_ODDEVEN_ALT
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,61.2563628,173.83826,1.248,7.633,5.12E+03,39.87,0.3137,505,15.43,85.3,1,q1_q17_dr25_tce,6144,4.402,0,1.091,1.093,283.72592,49.479519,15.25,CENT_KIC_POS
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1,0,0,0,0,38.3775486,172.82048,0.468,5.588,7.24E+02,2.82,0.2163,529,18.53,34.7,1,q1_q17_dr25_tce,5481,4.369,0.16,1.036,0.915,291.72202,49.480869,15.172,NO_COMMENT
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2.21E+03,3.86,0.217,439,8.76,51.2,2,q1_q17_dr25_tce,5031,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,NO_COMMENT
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1.04E+03,2.65,0.0617,823,108.3,47.1,3,q1_q17_dr25_tce,5031,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,NO_COMMENT
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.01308419,176.3608,0.799,3.2554,1.12E+03,3.1,0.1148,593,29.31,33.2,1,q1_q17_dr25_tce,5015,4.499,0.1,0.826,0.785,297.02563,48.478588,15.39,NO_COMMENT
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1.80E+03,3.36,0.1889,506,15.55,80,1,q1_q17_dr25_tce,5586,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,NO_COMMENT
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.978,0,0,0,0,91.7732862,193.8378,0.606,6.473,6.52E+02,2.12,0.3764,359,3.92,19.1,2,q1_q17_dr25_tce,5586,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,NO_COMMENT
38,11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9.80E+03,12.21,0.0565,1103,349.4,696.5,1,q1_q17_dr25_tce,5712,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263,MOD_SEC_DV
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,2.701287801,170.69579,1.016,3.3827,8.60E+02,6.54,0.0365,1222,527.81,48.3,1,q1_q17_dr25_tce,5550,4.468,-0.04,0.91,0.889,297.92365,48.777321,15.54,NO_COMMENT
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.49876511,171.34905,0.312,3.7362,4.60E+02,2.1,0.0542,1133,389.62,29.5,1,q1_q17_dr25_tce,6075,4.486,-0.12,0.969,1.048,298.45685,48.791592,15.395,MOD_SEC_DV
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.65120951,179.401981,0.723,5.2514,1.18E+04,12.42,0.1433,730,67.03,513.4,1,q1_q17_dr25_tce,6074,4.391,-0.12,1.063,1.014,291.0939,48.933842,15.536,NO_COMMENT
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.412203927,133.143089,0.787,2.9472,6.02E+02,2.94,0.0591,1093,337.68,166.7,1,q1_q17_dr25_tce,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,NO_COMMENT
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2.79E+03,5.5,0.2288,516,16.72,141.1,1,q1_q17_dr25_tce,5468,4.367,0.22,1.046,0.93,295.55505,49.017342,15.4,NO_COMMENT
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1.04E+03,2.52,0.0768,790,91.9,43.4,1,q1_q17_dr25_tce,5592,4.582,-0.28,0.787,0.862,285.49924,49.277351,15.317,NO_COMMENT
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.125543472,169.752585,0.597,3.1744,1.49E+03,4.43,0.0529,1243,565.35,128.6,1,q1_q17_dr25_tce,6174,4.417,0.1,1.103,1.162,291.93616,49.253979,15.506,NO_COMMENT
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.816504904,170.9676846,0.105,2.50587,1.68E+04,12.21,0.0383,1219,521.13,1406.8,1,q1_q17_dr25_tce,5532,4.452,0.14,0.955,0.941,297.01547,49.225288,15.052,MOD_SEC_DV
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,33.93373447,186.67608,0.812,14.561,8.50E+03,7.34,0.1881,430,8.11,236.1,1,q1_q17_dr25_tce,5040,4.628,-0.24,0.705,0.782,284.17233,49.360722,15.716,NO_COMMENT
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.689920099,170.36571,0.151,2.6557,4.27E+02,1.89,0.0469,1147,408.99,35.6,1,q1_q17_dr25_tce,5880,4.518,-0.06,0.917,1.01,291.62241,50.61824,15.242,NO_COMMENT
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.431238488,171.015,0.405,3.15,1.01E+03,3.25,0.0529,1104,351.23,71.1,1,q1_q17_dr25_tce,5714,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,NO_COMMENT
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1,0,0,0,0,11.37936986,133.84992,0.911,2.6255,1.02E+03,3.95,0.0993,806,99.68,37.9,2,q1_q17_dr25_tce,5714,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,NO_COMMENT
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1,0,0,0,0,26.39432897,176.05459,0.602,3.573,1.51E+03,3.07,0.1635,489,13.49,48.2,1,q1_q17_dr25_tce,5129,4.595,0.02,0.763,0.846,289.39972,51.25032,15.234,NO_COMMENT
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1,0,0,0,0,13.57078281,136.279194,0.866,3.3539,5.12E+02,2.64,0.1096,785,89.61,88.4,1,q1_q17_dr25_tce,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,NO_COMMENT
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.12594387,139.00492,0.898,3.0014,1.92E+02,1.79,0.0711,997,233.31,47.1,2,q1_q17_dr25_tce,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,MOD_SEC_DV
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.014,0,1,0,0,7.442652004,169.9717797,0.137,2.3078,2.44E+04,15.03,0.0742,967,206.78,835.6,1,q1_q17_dr25_tce,6108,4.469,-0.3,0.956,0.981,288.98682,49.733742,15.27,NO_COMMENT
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.38489988,172.72782,0.001,3.0249,1.13E+03,2,0.1084,433,8.35,28.9,2,q1_q17_dr25_tce,4126,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,NO_COMMENT
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.8774163,176.3759,0.041,2.0805,1.31E+03,2.16,0.0665,553,22.18,38.7,1,q1_q17_dr25_tce,4126,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,NO_COMMENT
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1,0,0,0,0,36.4454001,151.60125,0.028,4.007,1.12E+03,1.99,0.1847,332,2.88,21.7,3,q1_q17_dr25_tce,4126,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,NO_COMMENT
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.728732147,171.793255,0.558,2.683,5.23E+03,6.02,0.0455,1023,258.34,345.2,1,q1_q17_dr25_tce,5497,4.577,-0.1,0.809,0.907,290.78574,50.054119,15.523,NO_COMMENT
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,40.4195037,173.56469,0.911,3.362,6.26E+03,7.51,0.2062,467,11.29,36.9,1,q1_q17_dr25_tce,5446,4.507,-0.54,0.781,0.714,294.31686,50.080231,15.487,CENT_KIC_POS
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.243380573,170.679233,0.915,1.1196,8.22E+02,1.99,0.028,822,107.6,38.9,1,q1_q17_dr25_tce,4149,4.698,-0.32,0.564,0.578,285.17621,50.149818,15.135,MOD_SEC_DV
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,10.40599802,177.197466,0.324,6.5036,1.45E+04,11.23,0.0855,833,113.94,745.2,1,q1_q17_dr25_tce,5746,4.393,-0.54,0.924,0.77,289.23553,50.241001,15.562,NO_COMMENT
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.337437946,171.761982,0.28,1.9982,9.71E+02,2.34,0.0325,1070,311.16,82.4,1,q1_q17_dr25_tce,5005,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,NO_COMMENT
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0.993,0,0,0,0,7.2406612,137.75545,1.198,0.558,5.56E+02,19.45,0.0692,734,68.63,13.7,2,q1_q17_dr25_tce,5005,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,NO_COMMENT
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.871,0,0,0,0,3.43591631,132.6624,0.624,3.133,2.32E+01,0.55,0.0437,1272,617.61,8.7,3,q1_q17_dr25_tce,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,CENT_KIC_POS
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.59822233,180.395376,0.679,2.5237,2.80E+03,2.65,0.0798,396,5.82,71,1,q1_q17_dr25_tce,3688,4.79,0,0.473,0.503,296.22195,50.28722,15.937,NO_COMMENT
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.575315881,173.634044,0.39,4.3084,2.79E+03,5.31,0.067,1015,251.38,221.1,1,q1_q17_dr25_tce,5992,4.415,-0.32,0.989,0.927,290.09805,50.321609,15.312,NO_COMMENT
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.275040844,169.994217,0.547,7.5377,3.00E+03,4.86,0.0732,833,113.64,312.1,1,q1_q17_dr25_tce,5485,4.556,0.21,0.867,0.986,295.45529,50.49456,15.08,NO_COMMENT
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1.22E+03,1.93,0.1171,393,5.66,37.1,1,q1_q17_dr25_tce,4077,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,NO_COMMENT
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.06524317,136.28906,0.628,1.369,1.05E+03,1.91,0.076,488,13.43,30.3,2,q1_q17_dr25_tce,4077,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,NO_COMMENT
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.3935651,178.74725,0.883,3.8896,9.17E+02,2.66,0.0983,677,49.68,35.8,1,q1_q17_dr25_tce,5557,4.603,-0.4,0.75,0.832,296.02133,50.56778,15.505,NO_COMMENT
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.998,0,0,0,0,43.84439721,151.93538,0.852,6.802,6.15E+02,2.87,0.2395,531,18.77,83.7,2,q1_q17_dr25_tce,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,MOD_ODDEVEN_DV
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.341913228,171.63943,1.213,3.813,7.25E+02,21.55,0.0415,1032,268.67,39,1,q1_q17_dr25_tce,5295,4.551,-0.02,0.811,0.853,292.31595,38.27029,15.629,NO_COMMENT
73,3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,0.773,0,0,1,0,1.626630225,169.820171,1.26,2.1145,1.62E+03,32.43,0.026,1547,1355.88,103.6,1,q1_q17_dr25_tce,5735,4.41,-0.18,0.973,0.889,294.36819,38.31028,15.279,NO_COMMENT
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.711504086,170.03417,0.023,3.0099,8.38E+02,3.12,0.0401,1420,960.79,64.5,1,q1_q17_dr25_tce,6214,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,NO_COMMENT
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.21203748,172.81782,0.012,4.0491,9.50E+02,3.32,0.077,1025,260.58,51.5,2,q1_q17_dr25_tce,6214,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,NO_COMMENT
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,14.1798187,171.50237,0.1601,2.505,4.60E+02,1.88,0.1137,711,60.35,11.2,,,5799,4.539,-0.1,0.878,0.975,291.0448,51.321671,15.727,NO_COMMENT
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.47237911,174.16212,0.022,2.7245,1.12E+03,2.59,0.0778,751,75.44,47.6,1,q1_q17_dr25_tce,5354,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,NO_COMMENT
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.989,0,0,0,0,60.4189369,181.16367,0.094,5.039,9.31E+02,2.36,0.2884,390,5.49,20.1,2,q1_q17_dr25_tce,5354,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,MOD_ODDEVEN_DV
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.61190435,180.892284,0.55,5.1497,6.11E+03,7.4,0.1058,753,76.15,277.2,1,q1_q17_dr25_tce,5795,4.508,-0.02,0.919,0.992,289.11221,51.737381,15.14,MOD_SEC_DV
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.433769925,170.403536,1.268,1.8868,1.98E+03,46.58,0.0256,1920,3209.29,112.6,1,q1_q17_dr25_tce,6017,4.22,0.02,1.339,1.083,290.84369,37.728828,15.122,NO_COMMENT
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,10.31872301,173.31543,1.215,3.836,8.72E+02,28.59,0.0944,876,139.26,38.2,1,q1_q17_dr25_tce,5927,4.409,0.07,1.06,1.05,291.84891,37.713501,15.065,NO_COMMENT
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.539183147,169.67494,0.238,2.4282,3.82E+02,2.06,0.0355,1332,743.09,38.9,1,q1_q17_dr25_tce,5519,4.35,0.14,1.062,0.921,291.43997,37.905659,15.026,MOD_SEC_DV
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.770300385,170.57662,0.838,2.0844,1.30E+03,2.77,0.064,812,102.87,50.8,1,q1_q17_dr25_tce,5653,4.656,-0.84,0.679,0.767,290.87051,38.273628,15.591,NO_COMMENT
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.444291966,169.865406,1.258,2.0792,1.10E+04,27.51,0.0101,1836,2706.26,299.7,1,q1_q17_dr25_tce,5255,4.678,-0.72,0.636,0.709,290.99689,38.28492,15.748,NO_COMMENT
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,10.181584,177.141891,0.92,3.5089,5.74E+03,7.73,0.0884,812,102.91,183.6,1,q1_q17_dr25_tce,5988,4.541,-0.52,0.836,0.885,291.28195,38.241669,15.657,NO_COMMENT
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1,0,0,0,0,20.06036336,147.46554,0.556,3.3203,1.49E+03,1.96,0.115,361,4,35.2,2,q1_q17_dr25_tce,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,NO_COMMENT
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1,0,0,0,0,46.1842039,165.23729,0.013,4.758,1.39E+03,1.83,0.2005,273,1.32,26,3,q1_q17_dr25_tce,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,NO_COMMENT
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.952,0,0,0,0,23.9800854,147.537,0.95,5.351,1.04E+02,1.31,0.1602,649,41.94,17.1,4,q1_q17_dr25_tce,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,NO_COMMENT
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.994,0,0,0,0,7.82502168,136.54995,0.708,2.186,5.21E+02,1.2,0.0614,494,14.05,15.9,4,q1_q17_dr25_tce,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,NO_COMMENT
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.895936525,170.527552,0.524,2.3111,8.54E+03,7.34,0.046,1005,241.62,370.8,1,q1_q17_dr25_tce,5557,4.592,-0.3,0.774,0.866,294.65524,39.308361,15.725,NO_COMMENT
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,22.36646466,175.45862,0.4,5.228,9.87E+02,2.32,0.1449,536,19.45,32.1,1,q1_q17_dr25_tce,5395,4.615,-0.34,0.734,0.821,294.71063,39.52174,15.583,CENT_KIC_POS
